Name,N_cl,Rn(quadratic),Rn(cubic),Renyi relative entropy (quadratic),Renyi relative entropy (cubic),Ig,if,g1,g2,g3, IP, EA,electronegativity,Chemical potential,w,w2,Shannon,SGBP,Hardness,Expt. log KOW,Expt. Enthalphy of vap
"2,2prime,3,4,5,5prime,6-Heptachlorobiphenyl",7,-3.86640129,-3.37910165,-2.30708653,-2.34803682,4.26303782,18234.27539,24.4148267,-75.42382312,172.0308414,0.317516,0.012335,0.164926,-0.164926,0.04456,0.00199,-18.14321,1258.16635,0.305181,6.99,99.6
"2,2prime,3,4prime,5,6,6prime-Heptachlorobiphenyl",7,-3.86640106,-3.37909948,-2.30747422,-2.34945376,4.332286,18234.42097,24.14454154,-76.05521288,172.7101508,0.321133,0.008844,0.164989,-0.164989,0.04358,0.0019,-18.06808,1258.19507,0.312289,6.78,97.9
"2,3,3prime,4,4prime,5,5prime-Heptachlorobiphenyl",7,-3.86640192,-3.37910221,-2.30767436,-2.34894878,4.44758815,18234.59722,23.13626631,-77.45365078,177.7146302,0.31775,0.026356,0.172053,-0.172053,0.05079,0.00258,-18.0722,1258.22136,0.291394,7.72,122.1
"2,3,3prime,4,4prime,5,6-Heptachlorobiphenyl",7,-3.86640232,-3.37910322,-2.3069753,-2.34747761,4.26406914,18234.41131,25.40065487,-75.51853105,170.1095517,0.320131,0.01377,0.166951,-0.166951,0.04549,0.00207,-18.12852,1258.18896,0.306361,7.08,115.7
"2,3,3prime,4,4prime,5prime,6-Heptachlorobiphenyl",7,-3.86640113,-3.37910127,-2.30778117,-2.35020778,4.41920529,18234.68176,24.07590068,-76.33155083,172.6792419,0.324147,0.009186,0.166667,-0.166667,0.0441,0.00194,-18.03009,1258.2459,0.314961,7.21,120.5
"2,3,3prime,4,5,5prime,6-Heptachlorobiphenyl",7,-3.86640102,-3.37910207,-2.30737723,-2.34904322,4.32482356,18234.58398,24.28622261,-75.6723559,172.1093579,0.32184,0.014061,0.167951,-0.167951,0.04582,0.0021,-18.0564,1258.22944,0.307779,7.21,113.5
"2,3,3prime,4prime,5,5prime,6-Heptachlorobiphenyl",7,-3.8664019,-3.37910173,-2.30757535,-2.34966294,4.36874183,18234.67484,24.19032366,-76.15590445,172.4567714,0.32185,0.012004,0.166927,-0.166927,0.04497,0.00202,-18.03453,1258.24471,0.309846,7.21,113.2
"2,2prime,3,3prime,4,4prime,5,5prime-Octachlorobiphenyl",8,-3.92158234,-3.4080351,-2.33822421,-2.37173702,3.84677526,20414.1755,23.13675478,-74.18696805,177.9300787,0.321842,0.018399,0.17012,-0.17012,0.04769,0.00227,-32.79535,1361.70072,0.303443,7.62,119.6
"2,2prime,3,3prime,4,4prime,5,6-Octachlorobiphenyl",8,-3.92158337,-3.40803582,-2.34016809,-2.37829461,4.29879622,20413.84621,25.12680863,-76.41092652,174.6183968,0.322539,0.01587,0.169204,-0.169204,0.04668,0.00218,-32.90183,1361.62951,0.306669,7.35,117.3
"2,2prime,3,3prime,4,4prime,5,6prime-Octachlorobiphenyl",8,-3.92158187,-3.40803431,-2.33999885,-2.37774133,4.24340816,20414.10984,23.81497904,-76.04260223,176.7772297,0.321659,0.019026,0.170343,-0.170343,0.04794,0.0023,-32.80534,1361.6888,0.302633,7.43,111.4
"2,2prime,3,4,4prime,5,5prime,6-Octachlorobiphenyl",8,-3.92158232,-3.4080346,-2.34024459,-2.37866769,4.30704688,20414.07494,25.23495181,-76.71146395,174.2654908,0.319781,0.019312,0.169546,-0.169546,0.04784,0.00229,-32.81116,1361.68864,0.300469,7.49,110.7
"2,2prime,3,4,4prime,5,6,6prime-Octachlorobiphenyl",8,-3.92158277,-3.40803439,-2.34030546,-2.37898108,4.30976408,20413.94504,25.10554813,-76.64030251,174.6627458,0.323871,0.016596,0.170234,-0.170234,0.04716,0.00222,-32.83826,1361.65433,0.307275,7.48,104.4
"2,3,3prime,4,4prime,5,5prime,6-Octachlorobiphenyl",8,-3.92158357,-3.40803644,-2.34039696,-2.37916933,4.34562028,20414.2026,25.15446053,-76.73600648,174.3967913,0.324077,0.017171,0.170624,-0.170624,0.04743,0.00225,-32.80214,1361.70567,0.306906,7.62,125.5
"2,2prime,3,3prime,4,4prime,5,5prime,6-nonachlorobiphenyl",9,-3.97053654,-3.43356322,-2.37123569,-2.40800715,4.38182426,22593.60651,24.94295312,-77.67082678,178.7973971,0.321735,0.022227,0.171981,-0.171981,0.04938,0.00244,-47.578,1465.14746,0.299508,7.94,119
"2,2prime,3,3prime,4,4prime,5,6,6prime-nonachlorobiphenyl",9,-3.97053585,-3.43356227,-2.37102717,-2.40728549,4.32864143,22593.46606,25.06257407,-77.32802269,178.5874206,0.321341,0.02095,0.171146,-0.171146,0.04875,0.00238,-47.59849,1465.12114,0.300391,7.88,115.4
